winter,corr_wavg,clim_avg,avg-3p5std,avg-3std,avg-2std,avg-1std,avg+1std,avg+2std,avg+3std,avg+3p5std,abs_anomaly,z_score
2014,1.4895485842942917,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,-0.047642125880052566,-1.2634119849775334
2015,1.5196085909738235,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,-0.017582119200520774,-0.46625669423668975
2016,1.4877234998413964,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,-0.049467210332947875,-1.3118110336931479
2017,1.5752677197135792,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,0.038077009539234874,1.0097565823383055
2018,1.5628577058565492,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,0.025666995682204874,0.6806579128082447
2019,1.5697168683965455,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,0.032526158222201174,0.8625546690898245
2020,1.555612002144225,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,0.018421291969880738,0.48851054867100824
2021,1.5779076113342798,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,0.04071690115993554,1.0797633389853978
2022,1.5770013422196494,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,0.039810632045305105,1.0557301700222457
2023,1.533060188043109,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,-0.004130522131235326,-0.1095364883161653
2024,1.5585411685066097,1.5371907101743443,1.4052088684925519,1.4240634173042364,1.4617725149276057,1.499481612550975,1.5748998077977137,1.6126089054210828,1.6503180030444522,1.6691725518561367,0.021350458332265454,0.5661885241993708
