winter,swi010,clim_avg,avg-3p5std,avg-3std,avg-2std,avg-1std,avg+1std,avg+2std,avg+3std,avg+3p5std
2007,30.135554778031832,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2008,30.43087689299655,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2009,30.579959734736057,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2010,31.216268112386736,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2011,32.39372165315545,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2012,31.000707770924198,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2013,31.128988126167755,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2014,31.50582300483249,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2015,28.963204052241124,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2016,30.99808289573906,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2017,33.487804339018346,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2018,33.29598907284983,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2019,33.02777679846728,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2020,34.65646188326441,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2021,35.410255297370675,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2022,35.90710584789979,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2023,36.144276973373174,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
2024,37.18319866453943,31.630087079629362,26.221651693631692,26.99428532020279,28.53955257334498,30.08481982648717,33.175354332771555,34.72062158591375,36.26588883905593,37.03852246562703
